idcaja;efectivo;fechacaja;comentario
45;1809.63;2026-04-16;EDITABLE MAYRA REPONER 140$ CESAR 100$ Y JEFFERSON 13.11$
44;2884.19;2026-03-16;DINERO AL FINAL DEL PERIODO
43;1803.75;2026-02-15;DINERO EN CAJA AL FINAL
42;552.47;2026-01-15;DINERO EN CAJA AL FINAL
41;81.06;2025-12-17;DINERO EN CAJA AL FINAL
40;2381.06;2025-11-15;DINERO EN CAJA AL FINAL
39;2283.78;2025-10-15;DINERO EN CAJA AL FINAL
38;1253.83;2025-09-15;DINERO EN CAJA AL FINAL
37;1041.96;2025-08-15;DINERO EN CAJA AL FINAL
36;3518.49;2025-07-15;DINERO EN CAJA AL FINAL
35;1836.81;2025-06-15;DINERO EN CAJA AL FINAL
34;66.34;2025-05-15;DINERO EN CAJA AL FINAL
33;1573.34;2025-04-15;DINERO EN CAJA AL FINAL
32;13.67;2025-03-15;DINERO EN CAJA AL FINAL
31;346.00;2025-02-15;DINERO EN CAJA AL FINAL
30;233.66;2025-01-15;DINERO EN CAJA AL FINAL
29;120.72;2024-12-15;DINERO EN CAJA AL FINAL
28;223.68;2024-11-15;DINERO EN CAJA AL FINAL
27;613.79;2024-10-15;DINERO EN CAJA AL FINAL
26;645.71;2024-09-15;DINERO EN CAJA AL FINAL
25;198.33;2024-08-15;DINERO EN CAJA AL FINAL
24;136.95;2024-07-15;DINERO EN CAJA AL FINAL
23;46.24;2024-06-15;DINERO EN CAJA AL FINAL
22;139.50;2024-05-15;DINERO EN CAJA AL FINAL
21;469.36;2024-04-15;DINERO EN CAJA AL FINAL
20;53.22;2024-03-15;DINERO EN CAJA AL FINAL
19;473.08;2024-02-15;DINERO EN CAJA AL FINAL
18;331.94;2024-01-15;DINERO EN CAJA AL FINAL
17;320.80;2023-12-15;DINERO EN CAJA AL FINAL
16;13.66;2023-11-15;DINERO EN CAJA AL FINAL
15;164.00;2023-10-15;DINERO EN CAJA AL FINAL
14;75.00;2023-09-15;DINERO EN CAJA AL FINAL
13;394.00;2023-08-15;DINERO EN CAJA AL FINAL
12;230.00;2023-07-15;DINERO EN CAJA AL FINAL
11;60.00;2023-06-15;DINERO EN CAJA AL FINAL
10;583.00;2023-05-15;DINERO EN CAJA AL FINAL
9;366.60;2023-04-15;DINERO EN CAJA AL FINAL
8;24.94;2023-03-15;DINERO EN CAJA AL FINAL
7;52.87;2023-02-15;DINERO EN CAJA AL FINAL
6;133.80;2023-01-15;DINERO EN CAJA AL FINAL
5;108.40;2022-12-15;DINERO EN CAJA AL FINAL
4;130.40;2022-11-15;DINERO EN CAJA AL FINAL
3;113.20;2022-10-15;DINERO EN CAJA AL FINAL
2;100.00;2022-09-15;DINERO EN CAJA AL FINAL
1;130.00;2022-08-15;DINERO EN CAJA AL FINAL
